numer_sta,date,nb_niv,
07145,19961130230000,52,
p_niv,geop,t,td,dd,ff,
100000,137,mq,mq,mq,mq,
99700,mq,279.350000,277.550000,320,2.100000,
92500,760,275.750000,271.750000,340,7.200000,
91800,mq,275.350000,271.250000,mq,mq,
88100,mq,mq,mq,355,10.800000,
87600,mq,mq,mq,355,11.300000,
85000,1424,269.850000,269.350000,350,12.300000,
84900,mq,269.850000,269.350000,mq,mq,
82700,mq,271.850000,259.850000,mq,mq,
80000,mq,mq,mq,345,14.900000,
72300,mq,mq,mq,340,18.500000,
70000,2919,263.450000,243.450000,340,21.600000,
66700,mq,261.050000,236.050000,mq,mq,
60000,mq,mq,mq,345,37.000000,
59800,mq,260.650000,236.650000,mq,mq,
56000,mq,257.850000,234.850000,mq,mq,
54800,mq,mq,mq,345,45.800000,
53400,mq,258.650000,236.650000,mq,mq,
50000,5433,256.850000,235.850000,345,45.800000,
49700,mq,256.650000,235.650000,mq,mq,
45700,mq,251.250000,231.250000,mq,mq,
42600,mq,mq,mq,350,45.300000,
41200,mq,244.450000,237.450000,mq,mq,
40000,7031,243.250000,235.250000,350,49.400000,
37700,mq,241.250000,231.250000,mq,mq,
33400,mq,234.250000,219.250000,mq,mq,
30000,8983,229.050000,mq,350,68.900000,
28800,mq,mq,mq,350,72.000000,
25000,10160,220.250000,mq,345,63.800000,
24900,mq,220.050000,mq,mq,mq,
20300,mq,216.050000,mq,340,52.000000,
20000,11562,216.450000,mq,340,50.900000,
19800,mq,mq,mq,340,50.400000,
17400,mq,219.050000,mq,mq,mq,
15000,13357,214.450000,mq,mq,mq,
13800,mq,211.850000,mq,mq,mq,
10100,mq,mq,mq,330,33.400000,
10000,15799,206.650000,mq,330,32.900000,
9020,mq,204.850000,mq,330,31.400000,
7000,17897,202.250000,mq,325,26.200000,
5180,mq,mq,mq,325,20.600000,
5000,19839,198.850000,mq,320,22.100000,
4110,mq,mq,mq,310,29.300000,
4020,mq,196.650000,mq,mq,mq,
3930,mq,mq,mq,320,21.600000,
3640,mq,199.650000,mq,mq,mq,
3590,mq,mq,mq,315,30.400000,
3230,mq,mq,mq,310,21.100000,
3000,22761,199.450000,mq,305,23.700000,
2470,mq,mq,mq,285,30.400000,
2140,mq,mq,mq,285,27.300000,
2130,mq,198.850000,mq,mq,mq,
